month,tattoo_artists,manicurists,all licenses/10
2020 July,33,43,101.2
2020 August,40,45,119.5
2020 September,30,52,129.6
2020 October,37,53,143.7
2020 November,32,58,133.5
2020 December,37,69,142.5
2021 January,32,74,155.8
2021 February,35,63,154.1
2021 March,44,64,160.4
2021 April,46,68,157.5
2021 May,38,73,146.4
2021 June,44,64,149.0
2021 July,47,67,144.9
2021 August,41,72,154.3
2021 September,51,74,149.3
2021 October,36,69,141.9
2021 November,46,61,140.3
2021 December,35,67,148.6
2022 January,28,54,137.7
2022 February,11,40,83.1
2022 March,51,71,189.8
2022 April,44,61,151.9
2022 May,45,64,154.3
2022 June,42,68,152.9
2022 July,49,70,146.6
2022 August,58,78,161.7
2022 September,48,72,153.1
2022 October,44,71,152.6
2022 November,44,75,155.6
2022 December,37,71,143.0
2023 January,49,79,169.0
2023 February,59,73,168.1
2023 March,60,72,173.5
2023 April,59,72,156.2
